#тип; название; высота в метрах; дата последнего извержения
"volcano";"Пингвин (остров)";180;1905
"volcano";"Сан-Мигель (вулкан)";2130;2002
"volcano";"Сангай (вулкан)";5300;2013
"volcano";"Санта-Мария (вулкан)";3772;2013
"volcano";"Телика";1061;2011
"volcano";"Азуфраль";4070;-930
"volcano";"Гунтур (вулкан)";2249;1847
"volcano";"Салак (вулкан)";2211;1938
"volcano";"Фаральон-де-Пахарос";360;1967
"volcano";"Парума";5420;1867
"volcano";"Бромо";2329;2011
"volcano";"Синабунг";2460;2010
"volcano";"Сопутан";1784;2012
"volcano";"Тейде";3718;1909
"volcano";"Ичинская Сопка";3607;1740
"volcano";"Хибок-Хибок";1332;1948
"volcano";"Гамалама";1715;2012
"volcano";"Горелый (вулкан)";1829;2010
"volcano";"Сигуам";1053.9984;1993
"volcano";"Тинакула";851;2012
"volcano";"Маунт Виктори";1925;1935
"volcano";"Текуамбурро";1845;-960
"volcano";"Чикурачки";1816;2008
"volcano";"Вулкан Фусса";1772;1934
"volcano";"Гойройдонг";2885;1937
"volcano";"Горный Институт (вулкан)";2125;1250
"volcano";"Горящая Сопка";891;1914
"volcano";"Ильинский (вулкан)";1578;1901
"volcano";"Кихпиныч";1552;1550
"volcano";"Львиная Пасть";528;-1660
"volcano";"Ибу (вулкан)";1325;2011
"volcano";"Прево (вулкан)";1360;1825
"volcano";"Тауншиц";2353;-550
"volcano";"Желтовский (вулкан)";1953;1972
"volcano";"Антисана";5704;1801
"volcano";"Аракар";6095;1993
"volcano";"Чирип (вулкан)";1587;1860
"volcano";"Котопахи (вулкан)";5897;1940
"volcano";"Котопахи (вулкан)";5897;1942
"volcano";"Ислуга";5550;1913
"volcano";"Кизимен";2376;2013
"volcano";"Льяйма";3125;2009
"volcano";"Дьяблотен";1447;30
"volcano";"Асама";2568;2009
"volcano";"Канага (вулкан)";1306.9824;2012
"volcano";"Меру (вулкан)";4565;1910
"volcano";"Пинатубо";1486;1993
"volcano";"Невадо-дель-Руис";5321;2013
"volcano";"Олька (вулкан)";5407;1867
"volcano";"Померапе";6282;290
"volcano";"Сокомпа";6051;571
"volcano";"Бару (вулкан)";3474;1550
"volcano";"Тахумулько";4220;2008
"volcano";"Акита-Якэяма";1366;1997
"volcano";"Бакенинг";2276;-550
"volcano";"Амбалатунган";2329;1952
"volcano";"Лопеви";1413;2008
"volcano";"Вильяррика (вулкан)";2847;2012
"volcano";"Даббаху";1442;2005
"volcano";"Большой Семячик";1720;-4450
"volcano";"Гуальятири";6071;1960
"volcano";"Вулкан Менделеева";888;1880
"volcano";"Жупановский (вулкан)";2923;1959
"volcano";"Келуд";1731;2008
"volcano";"Камерун (вулкан)";4040;2012
"volcano";"Кусацу-Сиранэ";2171;1983
"volcano";"Убинас";5672;2006
"volcano";"Убинас";5672;2010
"volcano";"Афдера";1295;1907
"volcano";"Арджуно-Уелиранг";3339;1952
"volcano";"Манам";1807;2013
"volcano";"Адзума (вулкан)";1705;1977
"volcano";"Паган (остров)";570;2012
"volcano";"Вулкан Сарычева";1496;2009
"volcano";"Уайт-Айленд";321;2013
"volcano";"Таранаки (вулкан)";2518;1850
"volcano";"Таранаки (вулкан)";2518;1860
"volcano";"Комагатаке";1131;2000
"volcano";"Иррупутунку";5163;1995
